"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","5","ED2989-ND","USB-A1HSW6","CONN USB TYPE A R/A WHITE","","5","0","0.48000","2.40"
"2","30","SW960-ND","B3F-1100","SWITCH TACTILE SPST-NO 0.05A 24V","","30","0","0.30040","9.01"
"3","30","1189-1590-1-ND","25YXJ47MTA5X11","CAP ALUM 47UF 20% 25V RADIAL","","30","0","0.16800","5.04"
"4","30","399-9877-1-ND","C322C104K5R5TA7301","CAP CER 0.1UF 50V X7R RADIAL","","30","0","0.17300","5.19"
"5","30","C503B-RAN-CZ0C0AA2CT-ND","C503B-RAN-CZ0C0AA2","LED RED CLEAR 5MM ROUND T/H","","30","0","0.14000","4.20"
"6","30","C503B-GAN-CB0F0791-ND","C503B-GAN-CB0F0791","LED GREEN CLEAR 5MM ROUND T/H","","30","0","0.22700","6.81"
"7","30","C503B-BCN-CV0Z0461-ND","C503B-BCN-CV0Z0461","LED BLUE CLEAR 5MM ROUND T/H","","30","0","0.19500","5.85"
"8","50","CF14JT100RCT-ND","CF14JT100R","RES 100 OHM 1/4W 5% AXIAL","","50","0","0.02200","1.10"
"9","5","CKN10397-ND","SS-12D07-VG 4 NS GA PA","SWITCH SLIDE SPDT 300MA 30V","","5","0","0.47000","2.35"
"10","15","36-2203-ND","2203","HEX STANDOFF #4-40 ALUMINUM 1/2""","","15","0","0.45300","6.80"
"11","20","36-9900-ND","9900","MACHINE SCREW PAN PHILLIPS 4-40","","20","0","0.09200","1.84"
